,img_id,recall_10,recall_100,recall_250,recall_500,recall,map_10,map_100,map_250,map_500,map
783,5ylLWmkU1cXFcQ8v,0.104166666667,0.520833333333,0.6875,0.833333333333,0.958333333333,0.472698412698,0.401165500842,0.26740213949,0.184668188493,0.122960057288
784,RPY_F6wxCfpI-bVe,0.857142857143,0.857142857143,0.857142857143,0.857142857143,0.857142857143,0.778095238095,0.21331407963,0.107244777415,0.0619281668742,0.0351199680204
785,iDSbYL-Rm3vFB6pm,0.375,0.625,0.875,1.0,1.0,0.595357142857,0.129276655841,0.0763678617598,0.0483048674506,0.0296936131698
786,-Ko3qo3EJ08HiuNZ,0.162790697674,0.558139534884,0.744186046512,0.837209302326,0.953488372093,0.87753968254,0.448034733484,0.280039355008,0.188646392374,0.121302044106
787,tubWwC9bJf6WTRlE,0.222222222222,0.555555555556,0.666666666667,0.777777777778,0.777777777778,0.0745634920635,0.0782411874643,0.0503350624016,0.0342319808719,0.0219645224499
788,0c2ZyXPOFc0DE4Vk,0.175,0.75,0.975,1.0,1.0,0.935277777778,0.522995096686,0.33858238584,0.224631363575,0.14002157901
789,-gqRDDfPZTGlCfJa,0.047619047619,0.0952380952381,0.166666666667,0.309523809524,0.47619047619,0.485793650794,0.120497623127,0.0686409179322,0.0481605463297,0.0351906403915
790,kfEzH5-C2W93KFSB,0.0,0.25,0.666666666667,0.75,0.75,0.0,0.0143052333026,0.0268570445877,0.0246913168779,0.018579485314
791,VUVPIrb-TLArLONW,0.333333333333,0.666666666667,1.0,1.0,1.0,0.142896825397,0.0421155128899,0.0271467616373,0.017726269902,0.0109410772427
792,ASyvgH_xsKIeuCmN,0.333333333333,0.333333333333,0.666666666667,1.0,1.0,0.435793650794,0.0887475503528,0.0457521601334,0.0292167114211,0.0187642402939
793,pIaECldPYBi80nbJ,0.5,0.75,0.75,0.75,0.75,0.314007936508,0.0902831723231,0.0470728417107,0.0276893099387,0.015922597261
794,2DCX0Z6ZxX_y9ZGb,0.5,0.666666666667,0.833333333333,0.833333333333,0.833333333333,0.595357142857,0.132037838494,0.0702567618929,0.042049862752,0.0244881685288
795,5Srk6J7WfIsrlwst,0.227272727273,0.704545454545,0.840909090909,0.909090909091,0.977272727273,1.0,0.583598703249,0.359308897993,0.232240595368,0.14499857472
796,6HCObdRVJuHgT08c,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.5,0.0845634920635,0.0310404418431,0.0160693676644,0.00941898019331,0.00635262601107
797,-oIPPgNCBspbXvVF,0.0212765957447,0.191489361702,0.31914893617,0.425531914894,0.617021276596,0.292896825397,0.136297655077,0.0997294425523,0.0739004521224,0.0526015572902
798,4lVmUXMcKpZOVKL5,0.0526315789474,0.131578947368,0.368421052632,0.526315789474,0.631578947368,0.37746031746,0.120719464521,0.0852376680537,0.0678983533106,0.0488775020593
799,75Z-WeEQ6YzIo1QD,0.2,1.0,1.0,1.0,1.0,0.0845634920635,0.0723733521333,0.0472152954892,0.0305291295502,0.0187278019279
800,TbOV9l5hSSqPrFi6,0.6,1.0,1.0,1.0,1.0,0.742380952381,0.255935655535,0.138906171486,0.0832960493541,0.0485744989826
801,Oqx-padtavf7bNax,0.7,1.0,1.0,1.0,1.0,0.935277777778,0.284078533077,0.150163322502,0.0889246248623,0.0513887867368
802,EGGNdLC5PY996G0B,0.571428571429,0.714285714286,0.857142857143,0.857142857143,0.857142857143,0.738253968254,0.179581955501,0.092355198968,0.0544833776507,0.0313975734087
803,2dNYQKTaf85-EaeQ,0.0,0.4,0.4,0.6,0.6,0.0,0.0248222839231,0.0172352954236,0.0127467270214,0.00845130580237
804,pag4oUYgicvR6tSH,0.0909090909091,0.181818181818,0.454545454545,0.545454545455,0.545454545455,0.0336111111111,0.0315288467799,0.0223769548858,0.0190712577245,0.0136915134456
805,vgehlrZTtfTRO6Gj,0.363636363636,0.727272727273,0.727272727273,0.909090909091,0.909090909091,0.530357142857,0.184733753177,0.103119028688,0.0629262313513,0.0383895899812
806,6VMg7tJ3lcfDsn6q,0.0,0.0232558139535,0.162790697674,0.302325581395,0.325581395349,0.0,0.0133295780142,0.0184447079519,0.0209845604774,0.0197424580412
807,Cx88SRdHSluuQvsR,0.5,0.833333333333,1.0,1.0,1.0,0.495793650794,0.147409872385,0.079717475919,0.0481645161262,0.0282381426464
808,Xe_fyDOYz98-pw3c,0.333333333333,0.5,0.833333333333,1.0,1.0,0.176507936508,0.0709654951673,0.0432063494944,0.0289604813748,0.0186361252708
809,oiFitqiV4AHdaHEF,0.777777777778,1.0,1.0,1.0,1.0,0.935277777778,0.286802583658,0.147599751808,0.086258543154,0.049363098452
810,PaqtOaYmQmXkqW2i,0.5,0.75,0.875,0.875,0.875,0.693253968254,0.190089006043,0.100593852856,0.0599870009556,0.0348420324917
811,QwxqSjD-qKPUjDi0,0.444444444444,0.555555555556,0.666666666667,0.777777777778,0.888888888889,0.553968253968,0.157022019166,0.0815309516475,0.0498009395005,0.0303213164455
812,uphNmNieuVdrllnU,0.555555555556,0.888888888889,1.0,1.0,1.0,0.677817460317,0.245802971974,0.127896939263,0.0764071368814,0.0444373953157
813,Yo_ujaHaA1gcd_JH,0.25,0.5,0.75,0.75,1.0,0.485793650794,0.121479491234,0.0668635569714,0.0417375566524,0.0261131768433
814,gx1Y1x0JggnBH60l,0.25,0.25,0.25,0.25,0.75,0.190793650794,0.0642475503528,0.0330054019955,0.01927129372,0.0121810737671
815,hiv9Jm6pPTb42Yxl,0.625,1.0,1.0,1.0,1.0,0.802817460317,0.225184335942,0.119299261794,0.070724001786,0.0409031803375
816,w3NNA1m1iaDFPFD6,0.4,0.8,1.0,1.0,1.0,0.485793650794,0.105653630041,0.0605274066522,0.0371851851317,0.0220558297187
817,XKsnY6rZuUC-dPH9,0.0,0.0,0.166666666667,0.166666666667,0.333333333333,0.0,0.0,0.00198517278746,0.00237688275484,0.00188609883808
818,7NzjFPKydg1ACaKX,0.285714285714,0.714285714286,0.714285714286,0.714285714286,0.857142857143,0.435793650794,0.113787114559,0.0637808004596,0.0388118820354,0.023497974149
819,oWWKR2Q_j3wrEYPz,0.0,0.222222222222,0.777777777778,1.0,1.0,0.0,0.0306685500308,0.0291912944992,0.0264763889265,0.0194720213383
820,GiJweRyC-voyL2yC,0.166666666667,0.75,1.0,1.0,1.0,0.226507936508,0.161289071827,0.104945642996,0.0690843778315,0.0428539580825
821,tlK-RjjR5Q66EKhK,0.3,0.4,0.4,0.4,0.6,0.62869047619,0.151462993923,0.0751979612781,0.0431361660835,0.0248895832914
822,NIHBcG_oxUimqaU5,0.0,0.285714285714,0.428571428571,0.571428571429,0.571428571429,0.0,0.015730828056,0.0138118779662,0.0119070667095,0.00872412307701
823,gaxFEBMXNZd6Koi1,0.25,0.5,0.5,0.875,0.875,0.435793650794,0.11052255208,0.0588217845409,0.0361751825624,0.0229361232951
824,bIfpy5iIL8HQ-ygJ,0.0,0.0,0.375,0.5,0.625,0.0,0.0,0.00480556321934,0.00777160787275,0.00669096751101
825,CRNIKrMkgI0lXvKp,0.166666666667,0.666666666667,0.666666666667,0.833333333333,1.0,0.292896825397,0.110002603007,0.0586138049116,0.0353766236222,0.0211717414706
826,JtZsjtkwilM2za-m,0.0,0.8,0.8,1.0,1.0,0.0,0.0713687101543,0.0431602477704,0.028477795917,0.0177021351113
827,JwySOdG6TCMkl-G9,0.166666666667,0.666666666667,0.833333333333,0.833333333333,1.0,0.292896825397,0.0823003338035,0.0500503203053,0.0319466419582,0.0194608385336
