,img_id,recall,precision
0,XBZPztvt67qkMUdI,0.166666666667,0.001
1,PaqtOaYmQmXkqW2i,0.25,0.002
2,IPcFtNL-7EQ6Z0yu,1.0,0.005
3,IMAD0sq2Fz7HpSgX,1.0,0.005
4,-gqRDDfPZTGlCfJa,0.785714285714,0.033
5,xsrYb57vl4qiMLDG,1.0,0.004
6,BCjxgJlQ3TD5T8ST,0.8,0.004
7,LGxwsl9CtRQ8wW3Y,1.0,0.006
8,9LtOvyiygFYoxU8S,1.0,0.006
9,8usTLD-Wg5EHCShk,1.0,0.005
10,kH59MJp3nWyFfFB2,0.666666666667,0.006
11,tluPF-CA6dN6LACF,0.833333333333,0.005
12,HKXYBXXObkt_yi7s,1.0,0.006
13,mBJjuuB0ukfKmnRH,1.0,0.006
14,cqpTaVCZZe5OpuIk,0.875,0.007
15,Anry0qU5NFes6Twh,1.0,0.008
16,ByjuNEqsLcbUk5OH,0.714285714286,0.005
17,5dBiwoDEpY6gWRek,0.897435897436,0.035
18,ZFdHuWXCk662UDAW,0.6,0.003
19,BqoajT5F2iTYrBVY,0.833333333333,0.005
20,6e3OOBOz0U2yUPw2,0.611111111111,0.022
21,fSA2edOk84knSsCd,1.0,0.006
22,b1BJi-1w-Rx0TTYR,0.666666666667,0.004
23,K4WT0f0TDFUF1oss,0.625,0.005
24,RDoxm_sjkO6p-jfU,0.75,0.006
25,4U7OnXftrQUXbSwZ,0.173913043478,0.008
26,8Yc1fvVrq4t0Jg0g,1.0,0.006
27,_-Y9MEwXW1byM5Ia,0.454545454545,0.005
28,O5cAfwjvftQzafZ3,0.75,0.006
29,IkBMVe_IWEGldn0g,0.833333333333,0.005
30,rtQIxPKqH4o6NFNq,0.333333333333,0.002
31,YrF83_twEPyJAlyW,0.666666666667,0.004
32,2CJxF38F_Qgg6Fhi,0.833333333333,0.035
33,YRhMa7VZwJPtRNVR,1.0,0.008
34,9modxvJDrL-Gy7t7,0.857142857143,0.012
35,mMPiMRMAOsllXJX1,0.714285714286,0.005
36,LcoG8Q-xfZ46RMt7,1.0,0.006
37,myvtPZMtpeYDpLv_,1.0,0.006
38,iZfJ_ZrE-Sx4vet7,0.454545454545,0.005
39,6B5I1j-DmCIOj0wK,1.0,0.005
40,ThiEuJVkyd2bf7yw,0.714285714286,0.005
41,O0J0eEizNnBkWyu3,1.0,0.005
42,RJvSuab_mH_ztltS,0.75,0.006
43,QlY9_O7JH5AcmA69,0.333333333333,0.003
44,FkAprhxGEViLFSjd,1.0,0.006
45,QqxMG4-Go7VJerYn,1.0,0.006
46,vSrWdFDCaXiFB3XB,0.857142857143,0.006
47,3_B7wT34uAkCN-gF,0.9,0.009
48,DtYI5-aEaSLI4z2H,0.8,0.008
49,naJ6SEXq9MNBOBuk,0.666666666667,0.004
50,PQbAq0CiX2FgcSkp,0.5,0.006
51,iVN22JuTgd61WkRa,1.0,0.01
52,u-WKx2715GeFvQpz,0.2,0.001
53,_VQYoYKT0yZRqDHw,0.666666666667,0.004
54,NaWZCj6rZ-pVeKTJ,0.636363636364,0.007
55,YhwbXqELHtxGW_rP,0.818181818182,0.009
56,Lsq5x7QWgI6jBcf-,1.0,0.01
57,dvYH72SQIrkcM7Yk,1.0,0.004
58,Y1inzA5zYGHcz0Qu,0.444444444444,0.004
59,LargtV8TR8koTqjQ,0.705882352941,0.012
60,jDDk4WiDK8QYL0EV,0.111111111111,0.001
61,lhxngqWM77iok38Z,1.0,0.006
62,YTpwu6H-DEG2VUM0,1.0,0.01
63,iq4d6VflHCbIfPIW,0.25,0.002
64,-xC8K7buk4MISLuL,0.818181818182,0.036
65,hMIiex9mEUwf09L6,0.166666666667,0.001
66,vI7tG7vy0TD5Qke2,1.0,0.005
67,KsmNd5Tc3eb_tFxH,0.4,0.002
68,PEvrS8ogf1RXqrbx,0.857142857143,0.006
69,uKh4jDHgMMTglMNM,1.0,0.008
70,-fC0_r4cS1qMlo9Z,0.840909090909,0.037
71,Zibjo7D7jJkC1Skm,1.0,0.01
72,-gqRDDfPZTGlCfJa,0.761904761905,0.032
73,-rcRLZNZ79EOcHbt,0.974358974359,0.038
74,4eXGRJpHmNDzPwbv,1.0,0.003
75,AiEI0dA7N_D0OIKS,0.3,0.003
76,xb1P2Py3CoDKuwQK,1.0,0.007
77,43YHETgWn13r2wLo,0.833333333333,0.03
78,06AJq-FNnpK6TwFx,0.434782608696,0.02
79,x9Ac5HMkPtFTjnDH,1.0,0.01
80,43YHETgWn13r2wLo,0.611111111111,0.022
81,3sb5MqboczetUBuO,0.487804878049,0.02
82,BZi6RT0Yaxdg42j0,1.0,0.004
83,emwNOIak8AByGFIE,0.7,0.007
84,ijH5-TgdqBPW7TsT,1.0,0.006
85,YzVTOCQySaacl7mG,0.9,0.009
86,iYKRu1ElhEWMG4xV,0.666666666667,0.004
87,hGGQ9LEJUdd0temX,0.75,0.006
88,qGfsFF3DfNTn9axq,0.666666666667,0.006
89,JvhPsLlnKMec1g1e,1.0,0.009
90,-MRifiWtntStksAr,0.727272727273,0.032
91,6rgKxUBAaH4hhnQf,0.666666666667,0.004
92,aOcdeyWryvM5uMR7,0.714285714286,0.005
93,1KBIujdzOBSyVK34,1.0,0.01
94,J97wVnlItJvl6qmd,1.0,0.005
95,k_Myf4Tlu1tKVRk1,0.833333333333,0.005
96,WxS7aCiT1pxS_6ss,0.0,0.0
97,Coe7QX7i23Pfblup,0.8,0.004
98,e6nl9NTmFmf0aD3L,1.0,0.004
